Matt van Stern	992
Moon Laika	993
Mvs	994
Nils Frahm	995
Novo Talos	996
Otto Totland	997
Rand Aldo	998
Rannar Sillard	999
Richard Ramsey	1000
Sigimund	1001
Solvekin	1002
Sub-City Keys	1003
Voyager	1004
William Roud	1005
Wilmer Norman	1006
Yolta	1007
Claudia	1008
Liniker e os Caramelows	1009
Jimi Hendrix	1010
The Who	1011
Black Sabbath	1012
Di Melo	1013
Dire Straits	1014
Eric Clapton	1015
Grateful Dead	1016
Iggy Pop	1017
New York Dolls	1018
The Hillbilly Moon Explosion	1019
The Smashing Pumpkins	1020
Armin van Buuren	1021
Nicky Romero	1022
Ummet Ozcan	1023
Vini Vici	1024
Above & Beyond	1025
Arty	1026
W&W	1027
NWYR	1028
Paul van Dyk	1029
Sander Van Doorn	1030
Cosmic Gate	1031
Estiva	1032
Gabriel & Dresden	1033
Gaia	1034
Solarstone	1035
Big Brother & The Holding Company	1036
Janis Joplin	1037
Fito Paez	1038
Battery	1039
Queen	1040
A Static Lullaby	1041
AC/DC	1042
Black Uhuru	1043
Bob Dylan	1044
Chunk! No, Captain Chunk!	1045
Creedence Clearwater Revival	1046
Deep Purple	1047
Drunken Philosophy	1048
Pixies	1049
Ramon Ayala	1050
Sheku Kanneh-Mason	1051
Sleeping With Sirens	1052
Steppenwolf	1053
The Doors	1054
We Came As Romans	1055
Brooklyn Duo	1056
Lou Reed	1057
The Aggrovators	1058
The Bad Plus	1059
The Congos	1060
Dimitri Vegas & Like Mike	1061
Exodus	1062
Kreator	1063
Marlo	1064
Sodom	1065
Timmy Trumpet	1066
Wildstylez	1067
Testament	1068
Cobra Skulls	1069
Iron Chic	1070
Strung Out	1071
Swingin' Utters	1072
Dead to Me	1073
Digicult	1074
Life of Agony	1075
Hardneja Sertacore	1076
88 Não!	1077
Discarga	1078
Pense	1079
Futuro	1080
Holly Tree	1081
Los Vato's	1082
No Milk Today	1083
Os Pedrero	1084
Tamborellos	1085
Blur	1086
I.N.K.	1087
Hatebreed	1088
Total Fucking Destruction	1089
Jim Sturgess	1090
Evan Rachel Wood	1091
Himesh Patel	1092
The Beach Boys	1093
Matanza	1094
O Inimigo	1095
Raimundos	1096
Frank Zappa	1097
Opeth	1098
Boris	1099
Sunn O)))	1100
Earth	1101
Seth MacFarlane	1102
DIR EN GREY	1103
Emerson, Lake & Palmer	1104
Foo Fighters	1105
Puscifer	1106
Arch Enemy	1107
Caravan	1108
Between the Buried and Me	1109
Devin Townsend Project	1110
Porcupine Tree	1111
Steven Wilson	1112
Strapping Young Lad	1113
The Aristocrats	1114
The Mars Volta	1115
Nightmare	1116
Focus	1117
Sleep	1118
X Japan	1119
Galneryus	1120
Genesis	1121
Gojira	1122
Haken	1123
Melvins	1124
OSI	1125
The Sword	1126
Versailles	1127
Death	1128
LUNA SEA	1129
Egg	1130
Extreme	1131
Katatonia	1132
Led Zeppelin	1133
BUCK-TICK	1134
Racer X	1135
Cacophony	1136
Karnivool	1137
Oasis	1138
Steve Vai	1139
Dream Theater	1140
Megadeth	1141
Church of Misery	1142
The Contortionist	1143
Polyphia	1144
Vamps	1145
L'Arc~en~Ciel	1146
BTS	1147
Mr. Bungle	1148
Rings of Saturn	1149
The Dillinger Escape Plan	1150
How to Destroy Angels	1151
Modwheelmood	1152
TWICE	1153
Camel	1154
Devin Townsend	1155
Duran Duran	1156
MONSTA X	1157
Seventeen	1158
BLACKPINK	1159
Hyde	1160
Japan	1161
UK	1162
雅-MIYAVI-	1163
Bloodbath	1164
Origin	1165
Cattle Decapitation	1166
Judas Priest	1167
Velvet Revolver	1168
Blackfield	1169
Beyond Creation	1170
Necrophagist	1171
Fleshgod Apocalypse	1172
Ihsahn	1173
Behemoth	1174
Emperor	1175
SONOIO	1176
The Human Abstract	1177
Maximum the Hormone	1178
Black Tongue	1179
Cynic	1180
Thy Art Is Murder	1181
Trans-Siberian Orchestra	1182
Whitechapel	1183
Among The Sleep	1184
Animals as Leaders	1185
Toothgrinder	1186
CHON	1187
Intervals	1188
Isis	1189
Jupiter	1190
