artist	main_genre
1136497	electronic
489507	country
2944715	hip-hop/rap
96274	pop
2142623	classical
1799224	pop
558525	pop
78591	rock
401931	pop
78446	rock
2925497	pop
2495927	rock
2705757	electronic
24163	electronic
887554	jazz
2504166	country
957549	rock
1029286	pop
780072	rock
620205	pop
866487	hip-hop/rap
79021	rock
1476728	electronic
2777397	rock
2235672	classical
79697	rock
514664	rock
285329	hip-hop/rap
802232	alternative
4048448	classical
3777566	blues
257150	rock
4223034	electronic
3138013	country
3218642	hip-hop/rap
33823	hip-hop/rap
243951	country
300279	pop
27531	r&b/soul
631982	rock
589550	classical
1001750	jazz
1648483	classical
1171086	electronic
1343304	country
1970964	pop
118629	alternative
745793	rock
2794294	pop
2602169	reggae
804352	pop
1060550	rock
1402504	rock
2104323	rock
2189013	rock
2105992	electronic
365062	r&b/soul
642178	rock
139913	electronic
940085	electronic
441380	electronic
1584384	rock
3059761	pop
40797	rock
3078666	rock
1957514	latin
761108	rock
267008	electronic
140384	rock
761698	rock
456445	dance
2173701	rock
2317559	dance
3163065	jazz
3075989	classical
2073569	electronic
329054	alternative
2577139	rock
321996	pop
1899134	rock
1214563	electronic
1338489	hip-hop/rap
607266	rock
125671	pop
1182936	r&b/soul
341612	electronic
1538538	alternative
1182342	classical
3640813	rock
3170757	rock
1339276	electronic
2922614	rock
173467	rock
737891	country
629068	country
2914070	reggae
3884407	electronic
175125	pop
1559688	rock
2610378	electronic
2035732	alternative
841600	classical
608882	rock
1039331	jazz
1984852	rock
1632775	r&b/soul
1768555	rock
806781	pop
1293490	classical
735618	pop
294072	electronic
89205	electronic
58255	country
1449848	electronic
977881	pop
2200548	rock
2625671	latin
566895	electronic
542396	rock
2258860	pop
741487	electronic
1462390	rock
774918	hip-hop/rap
2823541	country
688730	pop
2645530	classical
828482	rock
1173034	rock
588585	electronic
533513	rock
2308775	rock
571553	electronic
585316	pop
1780760	rock
301734	pop
98443	latin
17203	rock
1270273	rock
202019	blues
348779	pop
587014	electronic
2135464	classical
1015646	rock
3848417	jazz
1240850	electronic
1582216	rock
440453	alternative
79728	rock
97231	dance
98473	electronic
657731	rock
197366	pop
79123	rock
243863	pop
670593	pop
2206507	electronic
100106	rock
963893	dance
308020	pop
870200	pop
452138	rock
405556	rock
78378	rock
392170	electronic
1287715	electronic
1214554	classical
2985127	hip-hop/rap
198019	electronic
192684	r&b/soul
63007	electronic
442309	pop
2481765	electronic
100088	rock
2357386	rock
1452472	jazz
422816	rock
152067	electronic
11842	hip-hop/rap
63044	alternative
2083440	r&b/soul
3153628	rock
777400	pop
329562	classical
47022	electronic
1471496	electronic
2981607	pop
827449	hip-hop/rap
447498	rock
588382	country
3350925	jazz
128785	rock
545341	hip-hop/rap
623467	hip-hop/rap
2637952	electronic
1244923	rock
621663	rock
83475	pop
59308	hip-hop/rap
1403363	rock
1271234	electronic
1889210	electronic
509864	electronic
296419	pop
808318	rock
536465	electronic
100584	rock
2961347	rock
1901787	electronic
364160	alternative
696362	electronic
368682	pop
80583	rock
478370	alternative
3785251	hip-hop/rap
367083	electronic
1924666	rock
2021441	country
2663223	rock
1539426	electronic
566830	r&b/soul
232010	dance
955154	classical
1257130	electronic
2577752	electronic
1946487	rock
118486	electronic
3075736	electronic
3629391	pop
57349	rock
3988593	rock
2012348	rock
173570	rock
1286994	hip-hop/rap
1546711	electronic
62682	alternative
2629768	electronic
887798	hip-hop/rap
782986	hip-hop/rap
158661	rock
4059751	rock
296260	country
996239	rock
91262	alternative
1029287	pop
941017	latin
438349	electronic
117684	rock
1557152	jazz
1474139	alternative
183021	rock
1596615	rock
1273134	rock
2207946	electronic
404139	electronic
2241410	electronic
557027	pop
1854795	hip-hop/rap
2611653	latin
755416	jazz
58696	hip-hop/rap
3410244	alternative
3227448	pop
1563329	country
160471	rock
154567	hip-hop/rap
753675	rock
264915	hip-hop/rap
621018	pop
867727	electronic
494129	alternative
1393802	latin
142407	hip-hop/rap
158481	rock
424834	electronic
1785193	rock
1538300	electronic
1032586	alternative
375169	r&b/soul
2519492	classical
649690	hip-hop/rap
249703	rock
378100	electronic
79127	rock
1248361	country
289436	rock
755942	country
924122	rock
2352183	electronic
62771	r&b/soul
260418	electronic
1809371	classical
1176347	electronic
941254	jazz
872764	latin
2995369	rock
651886	pop
1024816	hip-hop/rap
1418462	classical
2293	electronic
3292266	rock
1050	classical
937990	rock
2981114	classical
842387	country
1555787	hip-hop/rap
288266	rock
1658264	alternative
170674	pop
472821	hip-hop/rap
80560	rock
125241	classical
967744	pop
4409037	rock
98680	alternative
1624666	country
261339	electronic
2765762	classical
160912	pop
1758648	jazz
115105	classical
2098613	rock
2908113	alternative
255343	hip-hop/rap
1249673	rock
288780	rock
560088	rock
3069171	hip-hop/rap
366770	hip-hop/rap
21716	electronic
2656386	rock
17941	r&b/soul
392274	electronic
1409631	electronic
465449	electronic
209505	electronic
589130	country
80004	rock
213417	hip-hop/rap
614708	pop
321516	jazz
1069952	pop
112554	electronic
515149	rock
3232782	latin
674533	hip-hop/rap
62387	pop
198395	hip-hop/rap
1815307	hip-hop/rap
3233561	rock
1975357	rock
2462134	electronic
80489	rock
1967798	rock
3168341	electronic
1083916	alternative
1700139	rock
241747	classical
1020187	dance
161062	rock
457935	electronic
1979817	rock
2734206	electronic
72310	classical
1497100	rock
615969	electronic
115611	hip-hop/rap
2764571	jazz
80396	rock
2629623	electronic
79493	rock
2134226	rock
643590	rock
2212085	rock
3151554	rock
1438481	rock
2194364	classical
149570	electronic
624705	electronic
1053601	alternative
2745947	dance
787212	hip-hop/rap
50215	latin
122716	electronic
2537823	rock
1259457	electronic
2758282	r&b/soul
407759	rock
794370	rock
943716	country
365058	pop
654170	rock
5229605	rock
2012191	electronic
844461	rock
596424	hip-hop/rap
1476046	hip-hop/rap
746929	rock
434636	rock
49911	latin
347242	electronic
297215	electronic
2210237	alternative
234280	pop
3400036	country
63127	electronic
1467987	electronic
4544689	jazz
485518	hip-hop/rap
1370859	rock
2582810	electronic
588463	rock
2189489	electronic
250660	electronic
395469	classical
913392	hip-hop/rap
45947	rock
2774772	rock
49126	alternative
187558	rock
370217	alternative
699352	electronic
424979	electronic
1802239	classical
181568	r&b/soul
768212	hip-hop/rap
3245410	rock
70011	hip-hop/rap
3599894	classical
2794020	classical
1793885	electronic
2936691	rock
98384	r&b/soul
302829	electronic
1256815	hip-hop/rap
491094	country
2752628	country
1116012	rock
38187	rock
1470883	r&b/soul
1575025	electronic
233449	electronic
1004699	electronic
478226	electronic
1297110	rock
52477	jazz
690955	hip-hop/rap
280238	alternative
1053639	r&b/soul
198404	hip-hop/rap
2584508	classical
1021388	electronic
1823061	hip-hop/rap
368770	rock
506979	hip-hop/rap
657319	hip-hop/rap
190131	rock
1466635	electronic
1696456	pop
829369	rock
3761904	hip-hop/rap
1557325	classical
456043	electronic
1487556	rock
3103447	electronic
703655	electronic
138594	hip-hop/rap
2192790	latin
269411	r&b/soul
1282716	electronic
460795	pop
658731	country
193438	rock
2113964	hip-hop/rap
3061608	rock
77963	rock
1419547	rock
920287	classical
181292	pop
2150	hip-hop/rap
1029284	pop
1530066	classical
3668420	electronic
147707	electronic
198890	rock
1413180	classical
78206	rock
3208442	electronic
3680038	pop
1349360	rock
2736717	alternative
684186	hip-hop/rap
311509	rock
1174477	electronic
547922	jazz
4995094	rock
1033284	country
1299277	pop
2147768	hip-hop/rap
1741128	rock
3902369	pop
574962	rock
323153	rock
1170656	jazz
87344	hip-hop/rap
1344339	electronic
401803	r&b/soul
79274	electronic
174390	pop
1952046	rock
430185	hip-hop/rap
1569901	classical
1911603	pop
955193	r&b/soul
430134	hip-hop/rap
1845700	country
299895	r&b/soul
276156	pop
2504686	hip-hop/rap
382088	pop
409288	rock
457197	pop
1617068	rock
1277187	hip-hop/rap
1815970	jazz
1567026	electronic
90994	pop
62726	alternative
557030	pop
46913	pop
3830112	hip-hop/rap
3374748	electronic
1250462	electronic
2273029	classical
685838	hip-hop/rap
345015	classical
151838	electronic
3498188	hip-hop/rap
2076764	rock
615092	rock
608027	rock
1169891	electronic
620862	rock
967351	rock
2220781	dance
724015	latin
2184847	rock
483357	hip-hop/rap
67604	country
1639098	electronic
310185	country
149062	pop
302	pop
38205	rock
2825722	rock
1594411	rock
2643167	rock
511284	pop
1638137	rock
149233	rock
35629	pop
987682	rock
1001872	rock
853152	electronic
60188	rock
440983	alternative
281786	pop
1351431	electronic
142963	electronic
1245005	latin
1863715	rock
436578	electronic
354577	rock
932951	pop
843539	r&b/soul
1204266	electronic
155065	rock
2112336	electronic
4593018	electronic
873499	rock
1470124	rock
1113084	reggae
46865	rock
4874762	rock
304053	rock
1737896	r&b/soul
843376	alternative
1850613	electronic
158720	rock
615644	dance
809372	pop
1966383	blues
2725647	electronic
1287115	rock
865601	alternative
993362	hip-hop/rap
829127	rock
2809207	pop
12000	alternative
605903	alternative
1659721	rock
1546965	r&b/soul
1780608	r&b/soul
1364947	classical
186063	pop
1188495	electronic
3107683	dance
2098108	country
438989	alternative
1890668	jazz
1238963	alternative
692258	hip-hop/rap
89026	country
205063	rock
1564440	rock
4205066	rock
470155	electronic
889979	electronic
816412	rock
1857468	rock
162469	electronic
1476288	latin
980396	electronic
1230801	rock
1165009	classical
3813538	classical
27547	pop
2243615	electronic
181226	hip-hop/rap
370069	rock
4422181	electronic
2678775	electronic
1086196	hip-hop/rap
62887	country
28313	rock
1662701	rock
484097	latin
378619	hip-hop/rap
197005	pop
167082	hip-hop/rap
941599	electronic
398332	hip-hop/rap
1934152	classical
78868	rock
2005785	classical
1688896	rock
2406245	rock
2282683	rock
65728	rock
2582465	electronic
2305983	pop
354556	rock
187115	latin
1497358	hip-hop/rap
1849538	electronic
1443392	electronic
26202	rock
197405	alternative
236508	reggae
2127718	classical
1924237	rock
1409706	classical
419498	electronic
1037695	rock
304287	rock
1187279	hip-hop/rap
212839	electronic
1281382	dance
1887741	rock
325863	hip-hop/rap
156895	classical
1407702	rock
1326611	electronic
2154568	reggae
1510820	electronic
